block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces_image.stopped,response.stopped,faces.stopped,trial_loop.response.keys,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.0019001999999090913,0.010766500000499946,0.010766500000499946,25.39341979999972,space,25.378153600000587,None,,,,,,,,,,,,,,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,1,ball/red.png,unknown,0,0,0,None,0,0,0,0,25.400162200000523,,,,,,,,,25.398565500000586,26.387105700000575,27.096588999999767,27.08048880000024,27.085453300000154,27.096588999999767,27.096588999999767,0.004974699999365839,0.9998740000000907,29.088836599999922,29.088836599999922,29.08023469999989,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,2,ball/red.png,unknown,1,1,0,None,0,1,1,1,29.088836599999922,,,,,,,,,29.080346499999905,30.07413330000054,30.706713600000512,30.69981050000024,30.704601399999774,30.706713600000512,30.706713600000512,0.004775899999913236,0.9894337999994605,32.69783000000007,32.69783000000007,32.69255470000007,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,3,ball/red.png,unknown,2,2,0,None,0,2,2,2,32.69783000000007,,,,,,,,,32.69266250000055,33.69767750000028,34.51631350000025,34.50948560000052,34.51403339999979,34.51631350000025,34.51631350000025,0.00454489999992802,0.9894593999997596,36.515878500000326,36.515878500000326,36.50885010000002,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,4,ball/blue.png,known,3,3,0,None,0,3,3,3,36.515878500000326,,,,,,,,,36.50899130000016,37.50906600000053,38.24338720000014,38.231109899999865,38.240601600000446,38.24338720000014,38.24338720000014,0.009487500000432192,1.000455200000033,,,40.23152670000036,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,5,ball/red.png,unknown,4,4,0,None,0,4,4,4,40.240880299999844,,,,,,,,,40.23165510000035,41.23155339999994,42.00686880000012,42.001229200000125,42.00412150000011,42.00686880000012,42.00686880000012,0.0029059999997116392,0.9881525999999212,44.00441940000019,44.00441940000019,43.995440300000155,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,6,ball/blue.png,known,5,5,0,None,0,5,5,5,44.00441940000019,,,,,,,,,43.99557689999983,44.995019500000126,45.84187180000026,45.83252960000027,45.839217599999756,45.84187180000026,45.84187180000026,0.006702800000311981,0.9926193000001149,47.84315020000031,47.84315020000031,47.83184470000015,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,7,ball/blue.png,known,6,6,0,None,0,6,6,6,47.84315020000031,,,,,,,,,47.83205220000036,48.82537090000005,49.734397100000024,49.72857440000007,49.73199680000016,49.734397100000024,49.734397100000024,0.003432799999245617,0.9936260999993465,51.734637000000475,51.734637000000475,51.72713540000041,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,8,ball/red.png,unknown,7,7,0,None,0,7,7,7,51.734637000000475,,,,,,,,,51.72729989999971,52.721878399999696,53.6488374999999,53.640791300000274,53.644258000000264,53.6488374999999,53.6488374999999,0.0034734999999272986,0.9904173000004448,55.64423640000041,55.64423640000041,55.64027189999979,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,9,ball/red.png,unknown,8,8,0,None,0,8,8,8,55.64423640000041,,,,,,,,,55.64058750000004,56.63110520000009,57.49785030000021,57.49221529999977,57.495213799999874,57.49785030000021,57.49785030000021,0.003007399999660265,0.9959965999996712,59.491377100000136,59.491377100000136,59.48891999999978,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,10,ball/red.png,unknown,9,9,0,None,0,9,9,9,59.491377100000136,,,,,,,,,59.48902030000045,60.4886177999997,61.30616639999971,61.297519900000225,61.30053990000033,61.30616639999971,61.30616639999971,0.003022400000190828,0.9943521000004694,63.297354899999846,63.297354899999846,63.29181779999999,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,11,ball/red.png,unknown,10,10,0,None,0,10,10,10,63.297354899999846,,,,,,,,,63.291936700000406,64.29144450000058,65.0400725999998,65.0310141,65.03394040000057,65.0400725999998,65.0400725999998,0.0029373000006671646,0.9942202000001998,67.03047630000037,67.03047630000037,67.02531830000044,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,12,ball/red.png,unknown,11,11,0,None,0,11,11,11,67.03047630000037,,,,,,,,,67.02542970000013,68.02452020000055,68.98214780000035,68.97634900000048,68.97941069999979,68.98214780000035,68.98214780000035,0.003071099999942817,0.9968448999998145,70.97601500000019,70.97601500000019,70.97378339999977,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,13,ball/red.png,unknown,12,12,0,None,0,12,12,12,70.97601500000019,,,,,,,,,70.97389290000046,71.9733097999997,72.62944419999985,72.62323130000004,72.62712950000059,72.62944419999985,72.62944419999985,0.0039133999998739455,0.9892647999995461,74.62243970000054,74.62243970000054,74.61282829999982,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,14,ball/red.png,unknown,13,13,0,None,0,13,13,13,74.62243970000054,,,,,,,,,74.61296099999981,75.61231570000018,76.27853479999976,76.27181840000048,76.27592420000019,76.27853479999976,76.27853479999976,0.004109499999685795,0.9987493999997241,78.2673205000001,78.2673205000001,78.26250559999971,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,15,ball/red.png,unknown,14,14,0,None,0,14,14,14,78.2673205000001,,,,,,,,,78.26261169999998,79.26092049999988,80.18188069999997,80.17530850000003,80.17884130000039,80.18188069999997,80.18188069999997,0.003538700000717654,0.9979160000002594,82.17595249999977,82.17595249999977,82.17396710000048,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,16,ball/red.png,unknown,15,15,0,None,0,15,15,15,82.17595249999977,,,,,,,,,82.17410160000054,83.17389650000041,84.07356859999982,84.0675282000002,84.07115630000044,84.07356859999982,84.07356859999982,0.003643999999439984,0.9902607999993052,86.06045799999993,86.06045799999993,86.0579243000002,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,17,ball/red.png,unknown,16,16,0,None,0,16,16,16,86.06045799999993,,,,,,,,,86.05802750000021,87.06060470000011,87.81974830000036,87.81301210000038,87.81685509999988,87.81974830000036,87.81974830000036,0.0038485000004584435,0.9928939000001265,89.81191709999985,89.81191709999985,89.80657930000052,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,18,ball/red.png,unknown,17,17,0,None,0,17,17,17,89.81191709999985,,,,,,,,,89.80669250000028,90.80612920000021,91.50660760000028,91.49858490000042,91.50319209999998,91.50660760000028,91.50660760000028,0.004611499999555235,0.9941635999994105,93.49655100000018,93.49655100000018,93.4913744000005,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,19,ball/red.png,unknown,18,18,0,None,0,18,18,18,93.49655100000018,,,,,,,,,93.4914974000003,94.49072179999985,95.10426180000013,95.09744150000006,95.10168820000035,95.10426180000013,95.10426180000013,0.004256000000168569,0.9906636000005165,97.09671020000042,97.09671020000042,97.08922400000029,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,20,ball/red.png,unknown,19,19,0,None,0,19,19,19,97.09671020000042,,,,,,,,,97.08935310000015,98.0906071999998,98.80577960000028,98.79992719999973,98.80281550000018,98.80577960000028,98.80577960000028,0.0028998999996474595,0.9904594999998153,100.79321440000058,100.79321440000058,100.79091880000033,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,21,ball/blue.png,known,20,20,0,None,0,20,20,20,100.79321440000058,,,,,,,,,100.79103810000015,101.79324980000001,102.52946429999974,102.52389500000027,102.52751669999998,102.52946429999974,102.52946429999974,0.003631399999903806,0.9909447,104.52322950000053,104.52322950000053,104.5150794000001,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,22,ball/red.png,unknown,21,21,0,None,0,21,21,21,104.52322950000053,,,,,,,,,104.5151851999999,105.51451309999993,106.41736500000025,106.40920920000008,106.41258149999976,106.41736500000025,106.41736500000025,0.0033851000007416587,0.996634100000847,108.41147860000001,108.41147860000001,108.4087567000006,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,23,ball/blue.png,known,22,22,0,None,0,22,22,22,108.41147860000001,,,,,,,,,108.40886080000018,109.39919770000051,110.14770860000044,110.14200299999993,110.14561440000034,110.14770860000044,110.14770860000044,0.0036240999997971812,0.9906175999994957,112.13838630000009,112.13838630000009,112.13275260000046,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,24,ball/red.png,unknown,23,23,0,None,0,23,23,23,112.13838630000009,,,,,,,,,112.13287039999977,113.13224420000006,113.88999440000043,113.88418300000012,113.88724060000004,113.88999440000043,113.88999440000043,0.0030666000002383953,0.9906436999999642,115.87770139999975,115.87770139999975,115.87531250000029,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,25,ball/red.png,unknown,24,24,0,None,0,24,24,24,115.87770139999975,,,,,,,,,115.87543389999973,116.8780311999999,117.56067690000054,117.55414500000006,117.55851340000027,117.56067690000054,117.56067690000054,0.0043798000006063376,0.9902844000007462,119.55048989999977,119.55048989999977,119.54489740000008,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,26,ball/blue.png,known,25,25,0,None,0,25,25,25,119.55048989999977,,,,,,,,,119.54499570000007,120.54474670000036,121.34988729999986,121.3421957999999,121.34601530000054,121.34988729999986,121.34988729999986,0.0038282999994407874,0.9900698999999804,123.34101830000054,123.34101830000054,123.33272010000019,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,27,ball/red.png,unknown,26,26,0,None,0,26,26,26,123.34101830000054,,,,,,,,,123.33282930000041,124.33223480000015,125.12127779999992,125.11459519999971,125.11870770000041,125.12127779999992,125.12127779999992,0.00412270000015269,0.990304400000241,127.10812290000013,127.10812290000013,127.10593410000001,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,28,ball/red.png,unknown,27,27,0,None,0,27,27,27,127.10812290000013,,,,,,,,,127.10603730000003,128.10794760000044,129.10532870000043,129.0960629000001,129.09955309999987,129.10532870000043,129.10532870000043,0.003501299999697949,0.9934862000000066,131.09562670000014,131.09562670000014,131.09046880000005,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,29,ball/red.png,unknown,28,28,0,None,0,28,28,28,131.09562670000014,,,,,,,,,131.09057940000002,132.08957850000024,133.03888580000057,133.02974040000026,133.03315010000006,133.03888580000057,133.03888580000057,0.003426000000217755,0.9936452000001736,135.02915099999973,135.02915099999973,135.02351249999992,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,30,ball/red.png,unknown,29,29,0,None,0,29,29,29,135.02915099999973,,,,,,,,,135.02362950000042,136.02316169999995,136.85593570000037,136.84748469999977,136.85034090000045,136.85593570000037,136.85593570000037,0.002864400000362366,0.9912512000000788,138.8469756000004,138.8469756000004,138.8414961999997,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,31,ball/red.png,unknown,30,30,0,None,0,30,30,30,138.8469756000004,,,,,,,,,138.84160239999983,139.8409486999999,140.53169479999997,140.5236305999997,140.52713779999976,140.53169479999997,140.53169479999997,0.0035164000000804663,0.9986060999999609,142.52581269999973,142.52581269999973,142.52341890000025,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,32,ball/red.png,unknown,31,31,0,None,0,31,31,31,142.52581269999973,,,,,,,,,142.52354230000037,143.51377180000054,144.49601710000024,144.49038629999995,144.49347110000053,144.49601710000024,144.49601710000024,0.003095299999586132,0.9927417999997488,146.48903210000026,146.48903210000026,146.48354999999992,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,33,ball/red.png,unknown,32,32,0,None,0,32,32,32,146.48903210000026,,,,,,,,,146.48366179999994,147.47765330000038,148.2651794000003,148.2593906000002,148.26224120000006,148.2651794000003,148.2651794000003,0.0028591999998752726,0.9969924999995783,150.25876040000003,150.25876040000003,150.2559656000003,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,34,ball/red.png,unknown,33,33,0,None,0,33,33,33,150.25876040000003,,,,,,,,,150.25606880000032,151.2560226000005,152.17277410000042,152.1622852999999,152.16523890000008,152.17277410000042,152.17277410000042,0.0029653999999936786,0.9938973999996961,154.16189829999985,154.16189829999985,154.15618330000052,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,35,ball/red.png,unknown,34,34,0,None,0,34,34,34,154.16189829999985,,,,,,,,,154.15629570000056,155.15610819999984,156.0961828999998,156.08981289999974,156.09395529999983,156.0961828999998,156.0961828999998,0.00415309999971214,0.9939554000002317,158.0890085000001,158.0890085000001,158.08327250000002,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,36,ball/blue.png,known,35,35,0,None,0,35,35,35,158.0890085000001,,,,,,,,,158.08338379999987,159.0772563999999,159.9134028999997,159.90763010000046,159.91062969999984,159.9134028999997,159.9134028999997,0.003008699999554665,0.9964874999996027,161.90739920000033,161.90739920000033,161.90515200000027,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,37,ball/blue.png,known,36,36,0,None,0,36,36,36,161.90739920000033,,,,,,,,,161.9052683,162.90369290000035,163.88257280000016,163.87394349999977,163.87731210000038,163.88257280000016,163.88257280000016,0.0033798000004026107,0.9997768000002907,165.8732947999997,165.8732947999997,165.86542830000053,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,38,ball/red.png,unknown,37,37,0,None,0,37,37,37,165.8732947999997,,,,,,,,,165.86554429999978,166.86462110000048,167.4822562999998,167.47375120000015,167.47694450000017,167.4822562999998,167.4822562999998,0.00320339999962016,0.9910626000000775,169.4737640000003,169.4737640000003,169.46563530000003,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,39,ball/red.png,unknown,38,38,0,None,0,38,38,38,169.4737640000003,,,,,,,,,169.4657554000005,170.46448510000027,171.41554129999986,171.40738599999986,171.4105113000005,171.41554129999986,171.41554129999986,0.003135899999506364,0.990882000000056,173.4063299999998,173.4063299999998,173.39874359999976,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,40,ball/red.png,unknown,39,39,0,None,0,39,39,39,173.4063299999998,,,,,,,,,173.3988621999997,174.39213740000014,175.30128719999993,175.2955211999997,175.29849120000017,175.30128719999993,175.30128719999993,0.0029782000001432607,0.9933609999998225,177.2945924000005,177.2945924000005,177.29162429999997,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,41,ball/red.png,unknown,40,40,0,None,0,40,40,40,177.2945924000005,,,,,,,,,177.2919326000001,178.2894524000003,178.9128608000001,178.90442960000019,178.907913,178.9128608000001,178.9128608000001,0.003494700000373996,0.9961174999998548,180.90681320000022,180.90681320000022,180.9014240000006,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,42,ball/red.png,unknown,41,41,0,None,0,41,41,41,180.90681320000022,,,,,,,,,180.90153230000033,181.89451439999993,182.5583512000003,182.54999839999982,182.55303920000006,182.5583512000003,182.5583512000003,0.0030462999993687845,0.993188999999802,184.54883979999977,184.54883979999977,184.54348740000023,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,43,ball/red.png,unknown,42,42,0,None,0,42,42,42,184.54883979999977,,,,,,,,,184.54359769999974,185.5431096000002,186.4638746999999,186.4563259000006,186.45999800000027,186.4638746999999,186.4638746999999,0.0036890999999741325,0.9899341999998796,188.45555539999987,188.45555539999987,188.44675470000038,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,44,ball/blue.png,known,43,43,0,None,0,43,43,43,188.45555539999987,,,,,,,,,188.4469194000003,189.4458913999997,190.39702519999992,190.38923239999986,190.3927432999999,190.39702519999992,190.39702519999992,0.0035224000002926914,0.9905912000003809,192.38845349999974,192.38845349999974,192.37990530000025,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,45,ball/red.png,unknown,44,44,0,None,0,44,44,44,192.38845349999974,,,,,,,,,192.38001729999996,193.3793168000002,194.33096339999975,194.3251220000002,194.3281635000003,194.33096339999975,194.33096339999975,0.0030513000001519686,0.9967366000000766,196.32234830000016,196.32234830000016,196.31402239999989,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,46,ball/red.png,unknown,45,45,0,None,0,45,45,45,196.32234830000016,,,,,,,,,196.31416160000026,197.32126900000003,197.96711950000008,197.96137439999984,197.96440979999988,197.96711950000008,197.96711950000008,0.0030414000002565444,0.9971801000001506,199.96112259999973,199.96112259999973,199.9586933999999,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,47,ball/red.png,unknown,46,46,0,None,0,46,46,46,199.96112259999973,,,,,,,,,199.95879630000036,200.9552291,201.9398355000003,201.93088390000048,201.93370070000037,201.9398355000003,201.9398355000003,0.002824999999575084,0.9935866999994687,203.9309444999999,203.9309444999999,203.92507860000023,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,48,ball/blue.png,known,47,47,0,None,0,47,47,47,203.9309444999999,,,,,,,,,203.92517850000058,204.92513800000052,205.72998989999996,205.7218370999999,205.72495040000013,205.72998989999996,205.72998989999996,0.0031257999999070307,0.9905423000000155,207.72123740000006,207.72123740000006,207.7130348999999,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,49,ball/red.png,unknown,48,48,0,None,0,48,48,48,207.72123740000006,,,,,,,,,207.7131575000003,208.71231350000016,209.6159749999997,209.6099309000001,209.6130450999999,209.6159749999997,209.6159749999997,0.0031221999997796956,0.9961096999995789,211.60930319999989,211.60930319999989,211.60634699999991,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
1,50,ball/red.png,unknown,49,49,0,None,0,49,49,49,211.60930319999989,,,,,,,,,211.60645230000046,212.60650570000053,213.4150107000005,213.40625760000057,213.40929899999992,213.4150107000005,213.4150107000005,0.0030515999997078325,1.0001953000000867,215.40988449999986,215.40988449999986,215.40640230000008,None,,,,,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.40647590000026,215.40988449999986,216.51256590000048,216.39777539999977,,101,666,2025-05-09_17h55.13.261,project,2024.2.4,None,2025-05-09 17h55.24.202688 +0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set(),,,,,,,,
